County, FIPS,Met Healthy People Objective of 15.3?,"Age-Adjusted Death Rate([rate note]) - deaths per 100,000",Race,Lower CI (Rate),Upper CI (Rate),CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Death Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
Hamblen County,47063,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Hancock County,47067,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Hardeman County,47069,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Hardin County,47071,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Hawkins County,47073,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Haywood County,47075,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Henderson County,47077,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Henry County,47079,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Hickman County,47081,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Houston County,47083,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Humphreys County,47085,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Jackson County,47087,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Jefferson County,47089,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Johnson County,47091,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Lake County,47095,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Lauderdale County,47097,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Lawrence County,47099,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Lewis County,47101,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Lincoln County,47103,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Loudon County,47105,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Macon County,47111,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Marion County,47115,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Marshall County,47117,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Maury County,47119,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
McMinn County,47107,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
McNairy County,47109,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Meigs County,47121,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Monroe County,47123,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Moore County,47127,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Morgan County,47129,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Obion County,47131,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Overton County,47133,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Perry County,47135,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Pickett County,47137,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Polk County,47139,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Putnam County,47141,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Rhea County,47143,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Roane County,47145,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Robertson County,47147,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Scott County,47151,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Sequatchie County,47153,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Sevier County,47155,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Smith County,47159,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Stewart County,47161,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Sullivan County,47163,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Sumner County,47165,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Tipton County,47167,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Trousdale County,47169,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Unicoi County,47171,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Union County,47173,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Van Buren County,47175,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Warren County,47177,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Washington County,47179,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Wayne County,47181,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Weakley County,47183,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
White County,47185,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Williamson County,47187,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Wilson County,47189,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
